ISO 3166-1 country code, name, latitude, longitude
MX,Tinaja,20.198389,-101.062023
MX,Tejocote,20.179179,-101.397087
MX,San Vicente,20.458193,-101.592139
MX,Jaral,20.372656,-101.063612
MX,Huaniqueo,19.896817,-101.504457
MX,El Cuatro,20.485429,-101.165264
MX,Cuitzeo,19.969444,-101.140695
MX,Copándaro,19.892785,-101.213619
MX,Agua Tibia,20.501406,-101.630987
MX,Peñoles,17.080882,-97.00206
MX,Azompa,17.101402,-96.775889
MX,Ayoquezco,16.682549,-96.842517
MX,Amiltepec,16.276969,-97.21788
MX,Ixhuatlán,19.050627,-96.983626
MX,Huatusco,19.150244,-96.968346
MX,Tonalapa,18.096972,-99.559393
MX,Zimatlán,16.867874,-96.783618
MX,Monteverde,16.971457,-97.664684
MX,Sola,16.482251,-96.939964
MX,Macuiltianguis,17.533483,-96.552117
MX,Tehuantepec,16.31841,-95.247833
MX,Chihuitán,16.59164,-95.161024
MX,Laollaga,16.583928,-95.206511
MX,Lachiguiri,16.687239,-95.530349
MX,Santa Teresa,16.371415,-95.246376
MX,Totolapilla,16.601418,-95.625335
MX,Guienagati,16.738615,-95.354041
MX,Ecatepec,16.285519,-95.879519
MX,Santa Gertrudis,16.063654,-95.391995
MX,San Nicolás,20.394728,-101.254158
MX,San Nicolás,20.246975,-100.965827
MX,San Agustín,19.961961,-101.073055
MX,Rincón,20.420017,-101.253736
MX,Gertrudis,16.7858,-96.800242
MX,Zenzontepec,16.534444,-97.495435
MX,Santa Cruz,17.029093,-96.733277
MX,Sosoltepec,16.138879,-95.946775
MX,Huilotepec,16.245267,-95.150806
MX,Huamelula,16.026974,-95.667352
MX,Tenango,16.266586,-95.59532
MX,Suchiltepec,16.191535,-95.925057
MX,San Miguel,16.260654,-95.755328
MX,Caja de Agua,16.135625,-95.383954
MX,Chiltepec,16.134277,-95.915264
MX,Yautepec,16.430872,-95.974267
MX,Rincón,16.229527,-95.313093
MX,Tapanatepec,16.369858,-94.194247
MX,Chimalapa,16.714183,-94.747442
MX,Reforma,16.399379,-94.458043
